Node.ID,sp.ID,stageID,Stage,Sp.stage,Name.Sp.stage,Presence.code,Type,Organismal.Group,Working.Group,WorkingName,Phylum,Class,Order,Family,Genus,Specific.epithet,Sp.name,Resolution,Habitat_Site,Consumer.Strategy,Consumer.Type,Mobility,Life.Cycle,Confidence.in.Node,Justification.Code,thermal.province,Localities,Ref.ID,Northern.Eastern.Pacific.Range.Limit,Southern.Eastern.PacificRange.Limit,Additional.Localities,Synonomy,Fishbase.OR.WoRMS.SearchTerms,biosis.diet.search.terms,NHM.Search.Terms,Google.Scholar.PS.Search.Terms,biosis.SearchTerms,BIOSIS.PS.records,NHM.records,FishPest,Biosis.host.only.terms,Biosis.host.only.records,NHM.host.count
1,1,1,Adult,1.1,Dermasterias.imbricata.1.1,L,free.living,Asteroidea,sea star,leather star,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,imbricata,Dermasterias.imbricata,Species,rock,Predator,Predator,Mobile,1,2,1; 3,both,North Pacific,28,"Central Alaska, AK, USA","Northern Mexico, Mexico",,"Asteropsis imbricata, Dermasterias inermis",Dermasterias imbricata,"(Dermasterias SAME imbricata SAME diet), (Asteropsis SAME imbricata SAME diet), (Dermasterias SAME inermis SAME diet)",Dermasterias imbricata,,"(Dermasterias SAME imbricata SAME parasit*), (Asteropsis SAME imbricata SAME parasit*), (Dermasterias SAME inermis SAME parasit*)",NA,,NA,(Dermasterias SAME imbricata),73,NA
2,2,1,Adult,2.1,Orthasterias.koehleri.2.1,L,free.living,Asteroidea,sea star,rainbow star,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,koehleri,Orthasterias.koehleri,Species,rock,Predator,Predator,Mobile,1,2,1; 3,both,North Pacific,153,"AK, USA","Southern California, CA, USA",,"Asterias koehleri, Orthasterias biordinata, Orthasterias columbiana, Orthasterias leptostyla, Orthasterias montereyensis",Orthasterias koehleri,"(Orthasterias SAME koehleri SAME diet), (Orthasterias SAME diet), (Asterias SAME koehleri SAME diet)","Orthasterias koehleri, Asterias koehleri, Orthasterias biordinata, Orthasterias columbiana, Orthasterias leptostyla, Orthasterias montereyensis",,"(Orthasterias SAME koehleri SAME parasit*), (Asterias SAME koehleri SAME parasit*), (Orthasterias SAME biordinata SAME parasit*), (Orthasterias SAME columbiana SAME parasit*), (Orthasterias SAME leptostyla SAME parasit*), (Orthasterias SAME montereyensis SAME parasit*)",NA,,NA,(Orthasterias SAME koehleri),13,NA
3,3,1,Adult,3.1,Patiria.miniata.3.1,L,free.living,Asteroidea,sea star,bat star,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,miniata,Patiria.miniata,Species,rock,Omnivore,Predator,Mobile,1,1,1; 3,both,North Pacific,562; 896; 218; 1068,"Sitka, AK, USA","Baja California, Mexico",,Asterina miniata,Patiria miniata,"(Patiria SAME miniata SAME diet), (Asterina SAME miniata SAME diet), (Asterina SAME miniata SAME feeding), (Patiria SAME miniata SAME feeding)","Patiria miniata, Asterina miniata",,"(Patiria SAME miniata SAME parasit*), (Asterina SAME miniata SAME parasit*)",NA,,NA,(Patiria SAME miniata),140,NA
4,4,1,Adult,4.1,Pisaster.giganteus.4.1,L,free.living,Asteroidea,sea star,pink sea star,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,giganteus,Pisaster.giganteus,Species,rock,Predator,Predator,Mobile,1,1,1; 3,both,North Pacific,360,"British Columbia, Canada ","Southern California, CA, USA",,"Asterias brevispina, Asterias papulosa, Pisaster papulosus, Pisaster paucispinus",Pisaster brevispinus,,"Pisaster brevispinus, Asterias brevispina, Asterias papulosa, Pisaster papulosus, Pisaster paucispinus",,"(Pisaster SAME brevispinus SAME parasit*), (Asterias SAME brevispina SAME parasit*), (Asterias SAME papulosa SAME parasit*), (Pisaster SAME papulosus SAME parasit*), (Pisaster SAME paucispinus SAME parasit*)",NA,,NA,(Pisaster SAME brevispinus),30,NA
5,5,1,Adult,5.1,Pisaster.ochraceus.5.1,L,free.living,Asteroidea,sea star,giant sea star,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,ochraceus,Pisaster.ochraceus,Species,rock,Predator,Predator,Mobile,1,1,1; 3,both,North Pacific,1007; 773; 1068,"Prince William Sound, AK, USA","Baja California, Mexico",,"Asterias exquisita, Asterias gigantea, Asterias luetkeni, Pisaster capitatus Pisaster luetkeni, Pisaster luetkeni var. australis ",Pisaster giganteus,,"Pisaster giganteus, Asterias exquisita, Asterias gigantea, Asterias luetkeni, Pisaster capitatus, Pisaster luetkeni, Pisaster luetkeni var. australis",,"(Pisaster SAME giganteus SAME parasit*), (Asterias SAME exquisita SAME parasit*), (Asterias SAME gigantea SAME parasit*), (Asterias SAME luetkeni SAME parasit*), (Pisaster SAME capitatus SAME parasit*), (Pisaster SAME luetkeni SAME parasit*), (Pisaster SAME var. australis SAME parasit*)",NA,,NA,(Pisaster SAME giganteus),45,NA
6,6,1,Adult,6.1,Pisaster.brevispinus.6.1,L,free.living,Asteroidea,sea star,purple sea star,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,brevispinus,Pisaster.brevispinus,Species,rock,Predator,Predator,Mobile,1,2,1,both,North Pacific,287; 773,"Sitka, AK, USA","La Jolla, CA, USA",,"Asteracanthion margaritifer, Asterias conferta, Asterias fissispina, Asterias ianthina, Asterias janthina, Asterias margaritifera, Asterias ochracea, Pisaster fissispinus",Pisaster ochraceus,,"Pisaster ochraceus, Asteracanthion margaritifer, Asterias conferta, Asterias fissispina, Asterias ianthina, Asterias janthina, Asterias margaritifera, Asterias ochracea, Pisaster fissispinus",,"(Pisaster SAME ochraceus SAME parasit*), (Asteracanthion SAME margaritifer SAME parasit*), (Asterias SAME conferta SAME parasit*), (Asterias SAME fissispina SAME parasit*), (Asterias SAME ianthina SAME parasit*), (Asterias SAME janthina SAME parasit*), (Asterias SAME margaritifera SAME parasit*), (Asterias SAME ochracea SAME parasit*), (Pisaster SAME fissispinus SAME parasit*)",NA,,NA,(Pisaster SAME ochraceus),369,NA
7,7,1,Adult,7.1,Pycnopodia.helianthoides.7.1,E,free.living,Asteroidea,sea star,sunflower star,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,helianthoides,Pycnopodia.helianthoides,Species,rock surface,Predator,Predator,mobile,1,1,1;3,both,North Pacific,1007; 219; 677; 920,"Aleutian Islands, AK, USA","San Diego, CA, USA",,Asterias helianthoides,Pycnopodia helianthoides,,"Pycnopodia helianthoides, Asterias helianthoides",,"(Pycnopodia SAME helianthoides SAME parasit*), (Asterias SAME helianthoides SAME parasit*)",NA,,NA,(Pycnopodia SAME helianthoides),114,0
8,8,1,Adult,8.1,Aechmophorus.occidentalis.8.1,L,free.living,Bird,Bird,Western/Clark's Grebe,Chordata,Aves,Podicipediformes,Podicepiedidae,Aechmophorus,occidentalis,Aechmophorus.occidentalis,Species,Transient,Predator,Predator,Mobile,1,4,3; 5; 7,both,North Pacific,1070; 221,Canada ,Mexico,,none,Aechmophorus occidentalis,Aechmophorus SAME occidentalis SAME diet,Aechmophorus occidentalis,(Aechmophorus SAME occidentalis SAME parasit*),(Aechmophorus SAME occidentalis SAME parasit*),7,35,NA,(Aechmophorus SAME occidentalis),45,NA
9,9,1,Adult,9.1,Ardea.herodias.9.1,L,free.living,Bird,Bird,Great blue heron,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,Ardea.herodias,Species,Transient,Predator,Predator,Mobile,1,3,3; 5; 7,both,"Santa Barbara Channel, CA, USA",221; 1070,"Southern Alaska, AK, USA","Baja California, Mexico",Nearctic and Neotropical regions,none,Ardea herodias,(Ardea SAME herodias SAME diet); (Ardea SAME herodias SAME feeding),Ardea herodias,(Ardea SAME herodias SAME parasit*),(Ardea SAME herodias SAME parasit*),6,74,NA,(Ardea SAME herodias),242,NA
10,10,1,Adult,10.1,Ardea.alba.10.1,L,free.living,Bird,Bird,Great Egret,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,alba,Ardea.alba,Species,Transient,Predator,Predator,Mobile,1,2,3; 5; 7,both,"Santa Barbara Channel, CA, USA",221; 1070,"Southern Canada, Canada",Chile,"Nearctic as far south as Texas, the Gulf coast states, and Florida up the Atlantic coast to Maine and southern Canada, and west to the Great Lakes"," Casmerodius albus (Linnaeus, 1758); Egretta alba",Ardea alba,,"Casmerodius albus, Ardea alba, egretta alba",(Ardea SAME alba SAME parasit*),(Ardea SAME alba SAME parasit*),23,67,NA,(Ardea SAME alba),424,NA
