resource,resourceNum,resourceName,resourceCat,resourceStage,consumer,consumerNum,consumerName,consumerCat,consumerStage,interactionType,referenceNum,justification,interactionZone,habitat,localities,confidence,parasitic
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,660_Larus occidentalis_1,660,Larus occidentalis,bird,1,1,418,4,all,pools,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",4,n
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,760_Sphaerospora sphaerula_6,760,Sphaerospora sphaerula,myxozoan,6,6,"205, 8",3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific; Santa Barbara, CA",1,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,1264_Gnathia steveni_3,1264,Gnathia steveni,isopod,3,3,"427, 428",4,all,pools,NA,4,n
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2104_Ceratomyxa gracilis_1,2104,Ceratomyxa gracilis,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2106_Sphaeromyxa gibbonsia_1,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2122_Helicometrina elongata_1,2122,Helicometrina elongata,trematode,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2148_Ceratomyxa noblei_1,2148,Ceratomyxa noblei,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2152_Ceratomyxa blennius_1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2154_Trilospora californica_1,2154,Trilospora californica,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2270_Pseudopecoelus gibbonsiae_1,2270,Pseudopecoelus gibbonsiae,trematode,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,3017_Larus argentatus_1,3017,Larus argentatus,bird,1,1,414,4,all,pools,"Mandarte Island, BC",4,n
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,392,6,all,pools,"Kopachuck State Park, WA",2,n
